region,age,population
North Dakota,0-4 years,37022
North Dakota,5-9 years,37145
North Dakota,10-14 years,38344
North Dakota,15-19 years,42581
North Dakota,20-24 years,39821
North Dakota,25-29 years,37527
North Dakota,30-34 years,39072
North Dakota,35-39 years,38350
North Dakota,40-44 years,39210
North Dakota,45-49 years,34366
North Dakota,50-54 years,34448
North Dakota,55-59 years,42109
North Dakota,60-64 years ,45094
North Dakota,65-69 years,40212
North Dakota,70-74 years,30150
North Dakota,75-79 years,20296
North Dakota,80-84 years,14259
North Dakota,85+ years,20106
Ohio,0-4 years,743614
Ohio,5-9 years,760575
Ohio,10-14 years,757262
Ohio,15-19 years,733445
Ohio,20-24 years,699796
Ohio,25-29 years,743542
Ohio,30-34 years,764425
Ohio,35-39 years,777515
Ohio,40-44 years,728352
Ohio,45-49 years,710699
Ohio,50-54 years,730461
Ohio,55-59 years,767673
Ohio,60-64 years ,748235
Ohio,65-69 years,628434
Ohio,70-74 years,509536
Ohio,75-79 years,337775
Ohio,80-84 years,230152
Ohio,85+ years,272567
Oklahoma,0-4 years,255652
Oklahoma,5-9 years,255525
Oklahoma,10-14 years,261787
Oklahoma,15-19 years,265589
Oklahoma,20-24 years,238379
Oklahoma,25-29 years,228961
Oklahoma,30-34 years,227810
Oklahoma,35-39 years,236984
Oklahoma,40-44 years,229744
Oklahoma,45-49 years,219518
Oklahoma,50-54 years,213264
Oklahoma,55-59 years,239941
Oklahoma,60-64 years ,237152
Oklahoma,65-69 years,202290
Oklahoma,70-74 years,161351
Oklahoma,75-79 years,110379
Oklahoma,80-84 years,71450
Oklahoma,85+ years,79914
Oregon,0-4 years,282456
Oregon,5-9 years,281601
Oregon,10-14 years,267350
Oregon,15-19 years,248033
Oregon,20-24 years,256093
Oregon,25-29 years,279327
Oregon,30-34 years,297970
Oregon,35-39 years,313286
Oregon,40-44 years,291320
Oregon,45-49 years,269531
Oregon,50-54 years,255350
Oregon,55-59 years,255900
Oregon,60-64 years ,257310
Oregon,65-69 years,237466
Oregon,70-74 years,187513
Oregon,75-79 years,118013
Oregon,80-84 years,72774
Oregon,85+ years,89100
Pennsylvania,0-4 years,763643
Pennsylvania,5-9 years,779066
Pennsylvania,10-14 years,774155
Pennsylvania,15-19 years,755618
Pennsylvania,20-24 years,728842
Pennsylvania,25-29 years,801588
Pennsylvania,30-34 years,841761
Pennsylvania,35-39 years,841622
Pennsylvania,40-44 years,784056
Pennsylvania,45-49 years,749374
Pennsylvania,50-54 years,811112
Pennsylvania,55-59 years,878609
Pennsylvania,60-64 years ,874790
Pennsylvania,65-69 years,748238
Pennsylvania,70-74 years,606007
Pennsylvania,75-79 years,411319
Pennsylvania,80-84 years,275981
